AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT4G11780	TRM10		-1.00	2.0E-01	-1.48	1.3E-02	orange
AT3G55700		UDP-Glycosyltransferase superfamily protein	-0.04	9.9E-01	-1.48	1.7E-02	orange
AT3G16180		Major facilitator superfamily protein	-0.34	4.6E-01	-1.48	2.6E-08	orange
AT3G17180	SCPL33	serine carboxypeptidase-like 33	1.14	4.1E-01	-1.49	7.1E-03	orange
AT1G05420	OFP12	ovate family protein 12	-0.36	8.2E-01	-1.49	1.2E-03	orange
AT3G56090	FER3	ferritin 3	-0.34	7.2E-01	-1.50	3.4E-13	orange
AT2G34170		Protein of unknown function (DUF688)	-0.34	3.3E-02	-1.50	6.1E-10	orange
AT1G04540		Calcium-dependent lipid-binding (CaLB domain) family protein	-0.10	9.4E-01	-1.50	2.6E-08	orange
AT3G23050	IAA7	indole-3-acetic acid 7	-0.40	1.3E-04	-1.50	2.8E-10	orange
AT4G06746	RAP2.9	related to AP2 9	-0.98	5.5E-01	-1.50	8.5E-03	orange
AT4G26530	FBA5	Aldolase superfamily protein	-0.57	8.5E-03	-1.51	5.7E-13	orange
AT3G63470	SCPL40	serine carboxypeptidase-like 40	-0.44	4.9E-01	-1.51	4.4E-05	orange
AT2G25940	ALPHA-VPE	alpha-vacuolar processing enzyme	0.16	9.3E-01	-1.51	5.3E-03	orange
AT1G48100		Pectin lyase-like superfamily protein	-0.45	8.5E-03	-1.52	2.5E-09	orange
AT2G27420		Cysteine proteinases superfamily protein	-0.25	6.5E-01	-1.52	1.9E-06	orange
AT3G18485	ILR2	iaa-leucine resistant 2	-0.31	6.8E-01	-1.52	5.3E-07	orange
AT5G04530	KCS19	3-ketoacyl-CoA synthase 19	-0.53	4.8E-01	-1.52	9.3E-04	orange
AT3G06840			-0.48	5.7E-01	-1.52	8.1E-03	orange
AT1G19840		SAUR-like auxin-responsive protein family 	-0.66	4.4E-01	-1.52	8.3E-03	orange
AT2G41190		Transmembrane amino acid transporter family protein	-0.65	1.2E-01	-1.53	7.8E-13	orange
AT1G16515			-0.37	6.6E-01	-1.54	6.4E-06	orange
AT3G05140	RBK2	ROP binding protein kinases 2	-0.41	8.0E-01	-1.54	1.3E-03	orange
AT2G27990	BLH8	BEL1-like homeodomain 8	-0.47	6.1E-01	-1.54	8.9E-05	orange
AT3G23450			-0.36	2.6E-01	-1.54	2.8E-08	orange
AT5G15580	LNG1	longifolia1	-0.51	2.3E-03	-1.54	2.4E-11	orange
AT1G17870	EGY3	ethylene-dependent gravitropism-deficient and yellow-green-like 3	-0.54	4.6E-02	-1.55	1.6E-14	orange
AT3G53040		"late embryogenesis abundant protein, putative / LEA protein, putative"	-0.18	9.6E-01	-1.55	2.5E-02	orange
AT5G62170	TRM25		-0.29	2.7E-01	-1.56	2.6E-14	orange
AT5G60660	PIP2;4	plasma membrane intrinsic protein 2;4	-0.35	5.8E-01	-1.57	3.2E-07	orange
AT3G47380		Plant invertase/pectin methylesterase inhibitor superfamily protein	-1.02	2.2E-01	-1.57	5.4E-04	orange
AT5G01335		transposable element gene	-0.04	9.9E-01	-1.58	7.6E-03	orange
AT4G17030	EXLB1	expansin-like B1	-0.25	4.8E-01	-1.58	1.4E-06	orange
AT1G09600		Protein kinase superfamily protein	-0.66	5.3E-01	-1.59	3.8E-03	orange
AT5G65390	AGP7	arabinogalactan protein 7	0.31	9.2E-01	-1.59	1.1E-03	orange
AT1G02360		Chitinase family protein	-1.30	2.0E-01	-1.59	1.6E-02	orange
AT1G15405		other RNA	0.67	5.8E-01	-1.60	2.0E-02	orange
AT5G25045		transposable element gene	-0.54	7.1E-01	-1.60	8.0E-03	orange
AT5G18080	SAUR24	SAUR-like auxin-responsive protein family 	-0.45	3.9E-01	-1.62	1.2E-07	orange
AT1G02700			-0.62	3.8E-01	-1.62	2.3E-04	orange
AT5G42880		Plant protein of unknown function (DUF827)	-0.45	4.5E-01	-1.62	1.3E-04	orange
AT3G13061		other RNA	-1.20	1.4E-01	-1.64	3.0E-05	orange
AT3G12610	DRT100	Leucine-rich repeat (LRR) family protein	-0.54	6.8E-03	-1.64	5.6E-07	orange
AT2G36026		Ovate family protein	-0.40	3.8E-01	-1.64	3.2E-07	orange
AT3G23510		Cyclopropane-fatty-acyl-phospholipid synthase	-0.50	6.1E-01	-1.64	1.5E-08	orange
AT5G45670		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.65	3.4E-01	-1.65	4.4E-03	orange
AT1G02800	CEL2	cellulase 2	-0.23	8.6E-01	-1.65	2.0E-05	orange
AT2G21540	SFH3	SEC14-like 3	-0.42	6.6E-02	-1.65	8.7E-14	orange
AT3G27500		Cysteine/Histidine-rich C1 domain family protein	-0.36	8.3E-01	-1.65	3.2E-03	orange
AT4G20230		Terpenoid cyclases/Protein prenyltransferases superfamily protein	-0.53	2.3E-01	-1.65	1.0E-07	orange
AT3G46300			-2.21	7.7E-02	-1.66	8.2E-03	orange
AT1G78260		RNA-binding (RRM/RBD/RNP motifs) family protein	-0.43	6.1E-01	-1.66	5.1E-04	orange
AT1G64110	DAA1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.02	1.0E+00	-1.66	1.6E-12	orange
AT1G52830	IAA6	indole-3-acetic acid 6	-0.91	2.2E-01	-1.66	1.2E-05	orange
AT1G54120			-0.79	7.8E-02	-1.66	4.5E-06	orange
AT4G23820		Pectin lyase-like superfamily protein	-0.39	2.9E-01	-1.68	7.2E-09	orange
AT1G75900		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.42	6.6E-02	-1.68	2.4E-16	orange
AT4G14819		Protein of unknown function (DUF1677)	-0.17	9.2E-01	-1.69	3.6E-05	orange
AT1G04110	SDD1	Subtilase family protein	-0.41	7.2E-01	-1.69	2.1E-02	orange
AT1G77760	NIA1	nitrate reductase 1	-0.71	1.8E-01	-1.69	8.5E-13	orange
AT1G05020		ENTH/ANTH/VHS superfamily protein	-0.37	7.9E-01	-1.70	5.6E-05	orange
AT3G48720	DCF	HXXXD-type acyl-transferase family protein	-0.36	2.8E-01	-1.71	8.7E-20	orange
AT5G57780	P1R1		-0.63	5.3E-02	-1.71	3.3E-09	orange
AT5G45830	DOG1	delay of germination 1	-0.36	6.9E-01	-1.71	1.2E-09	orange
AT1G56550	RGXT3	RhamnoGalacturonan speci&	-0.50	8.6E-01	-1.71	5.8E-03	orange
AT5G17170	ENH1	rubredoxin family protein	-0.05	9.3E-01	-1.71	9.3E-31	orange
AT1G50040		Protein of unknown function (DUF1005)	-0.49	8.4E-01	-1.72	7.3E-05	orange
AT5G48550		F-box associated ubiquitination effector family protein	-0.82	5.4E-01	-1.72	4.0E-03	orange
AT2G34180	CIPK13	CBL-interacting protein kinase 13	-0.34	6.3E-01	-1.72	3.7E-06	orange
AT1G78530		Protein kinase superfamily protein	-0.14	9.5E-01	-1.73	6.1E-03	orange
AT4G25420	GA20OX1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-0.65	1.2E-01	-1.74	1.1E-08	orange
AT2G30900	TBL43	TRICHOME BIREFRINGENCE-LIKE 43	-0.31	8.2E-01	-1.75	2.0E-06	orange
AT1G12100		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.19	9.4E-01	-1.76	2.6E-03	orange
AT2G20750	EXPB1	expansin B1	-0.40	1.9E-01	-1.76	3.6E-07	orange
AT2G30432	TCL1	Homeodomain-like superfamily protein	-0.56	3.0E-02	-1.76	5.3E-06	orange
AT4G24265			-0.25	9.1E-01	-1.76	4.3E-03	orange
AT2G26695		Ran BP2/NZF zinc finger-like superfamily protein	-0.62	5.4E-02	-1.77	5.5E-07	orange
AT5G58390		Peroxidase superfamily protein	-0.67	5.9E-01	-1.77	1.9E-03	orange
AT5G38230		transposable element gene	0.46	7.9E-01	-1.77	3.4E-04	orange
AT3G26614		transposable element gene	-0.32	9.2E-01	-1.77	2.4E-02	orange
AT5G15800	SEP1	K-box region and MADS-box transcription factor family protein 	-0.12	9.7E-01	-1.78	3.1E-03	orange
AT5G52300	LTI65	CAP160 protein	-1.22	2.0E-01	-1.78	1.0E-07	orange
AT1G75640		Leucine-rich receptor-like protein kinase family protein	-0.31	7.2E-01	-1.79	2.7E-04	orange
AT1G60590		Pectin lyase-like superfamily protein	-0.35	1.0E-02	-1.80	1.9E-06	orange
AT2G24610	CNGC14	cyclic nucleotide-gated channel 14	-0.18	9.5E-01	-1.80	8.8E-04	orange
AT1G11000	MLO4	Seven transmembrane MLO family protein	-0.75	5.1E-02	-1.81	2.7E-08	orange
AT1G09240	NAS3	nicotianamine synthase 3	0.15	9.5E-01	-1.81	8.1E-04	orange
AT2G10940		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.37	1.0E-01	-1.82	8.1E-15	orange
AT4G33420		Peroxidase superfamily protein	-0.61	1.5E-01	-1.82	3.0E-07	orange
AT2G42840	PDF1	protodermal factor 1	-0.37	8.4E-01	-1.82	1.3E-02	orange
AT1G78440	ATGA2OX1	Arabidopsis thaliana gibberellin 2-oxidase 1	-0.19	8.8E-01	-1.82	5.7E-05	orange
AT1G52750		alpha/beta-Hydrolases superfamily protein	-0.41	6.7E-01	-1.84	1.5E-04	orange
AT3G43960		Cysteine proteinases superfamily protein	-0.46	5.8E-01	-1.85	2.3E-04	orange
AT1G06360		Fatty acid desaturase family protein	-0.35	8.2E-01	-1.86	1.5E-03	orange
AT5G50335			0.39	7.6E-01	-1.86	1.0E-05	orange
AT5G53210	SPCH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-1.21	2.3E-01	-1.86	2.3E-02	orange
AT1G23205		Plant invertase/pectin methylesterase inhibitor superfamily protein	-0.14	8.8E-01	-1.87	1.3E-06	orange
AT3G42800			-0.92	4.5E-01	-1.88	2.4E-03	orange
AT3G61680		alpha/beta-Hydrolases superfamily protein	-0.29	8.8E-01	-1.88	3.3E-03	orange
AT3G03830	SAUR28	SAUR-like auxin-responsive protein family 	-0.21	9.5E-01	-1.89	2.5E-04	orange
AT4G35770	SEN1	Rhodanese/Cell cycle control phosphatase superfamily protein	-0.19	8.8E-01	-1.90	1.4E-10	orange
AT2G40610	EXPA8	expansin A8	-0.99	5.8E-02	-1.92	3.7E-08	orange
AT3G22540		Protein of unknown function (DUF1677)	-0.49	1.3E-01	-1.92	7.1E-05	orange
AT5G25460	DGR2	"Protein of unknown function, DUF642"	-0.56	9.2E-02	-1.92	2.6E-11	orange
AT1G74890	ARR15	response regulator 15	-0.82	9.7E-02	-1.95	6.1E-10	orange
AT3G44900	CHX4	cation/H+ exchanger 4	-0.40	8.3E-01	-1.95	1.2E-04	orange
AT3G28857	PRE5	basic helix-loop-helix (bHLH) DNA-binding family protein	-0.51	8.2E-01	-1.96	2.4E-03	orange
AT1G04800		glycine-rich protein	-0.11	9.4E-01	-1.96	1.2E-02	orange
AT5G22890		C2H2 and C2HC zinc fingers superfamily protein	0.93	7.2E-01	-1.97	4.6E-02	orange
AT3G04290	LTL1	Li-tolerant lipase 1	-0.40	6.8E-01	-1.97	1.4E-02	orange
AT2G42380	BZIP34	Basic-leucine zipper (bZIP) transcription factor family protein	-0.45	2.0E-01	-1.99	6.9E-09	orange
AT1G02205	CER1	Fatty acid hydroxylase superfamily	-0.55	1.0E-04	-1.99	3.3E-13	orange
AT5G22460		alpha/beta-Hydrolases superfamily protein	-0.39	3.8E-01	-1.99	4.4E-05	orange
AT4G28780		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.58	3.6E-02	-2.00	6.6E-06	orange
AT1G17700	PRA1.F1	prenylated RAB acceptor 1.F1	-0.54	4.4E-01	-2.01	2.4E-05	orange
AT4G25760	GDU2	glutamine dumper 2	-0.48	6.0E-01	-2.01	6.7E-05	orange
AT3G20470	GRP5	glycine-rich protein 5	-0.55	1.1E-01	-2.02	3.0E-11	orange
AT5G49130		MATE efflux family protein	0.28	9.3E-01	-2.02	1.2E-03	orange
AT4G31910		HXXXD-type acyl-transferase family protein	-0.38	6.5E-01	-2.03	5.6E-09	orange
AT3G10340	PAL4	phenylalanine ammonia-lyase 4	-0.64	5.7E-02	-2.05	7.8E-10	orange
AT2G29090	CYP707A2	"cytochrome P450, family 707, subfamily A, polypeptide 2"	-0.66	1.6E-01	-2.05	9.5E-12	orange
AT4G14690	ELIP2	Chlorophyll A-B binding family protein	0.03	9.9E-01	-2.08	2.6E-03	orange
AT5G24580		Heavy metal transport/detoxification superfamily protein 	-0.56	3.9E-02	-2.10	3.0E-10	orange
AT5G51720	NEET	"2 iron, 2 sulfur cluster binding"	-0.11	9.0E-01	-2.13	5.4E-20	orange
AT5G62210		"Embryo-specific protein 3, (ATS3)"	-0.25	7.1E-01	-2.14	4.4E-06	orange
AT2G40300	FER4	ferritin 4	-0.32	4.0E-01	-2.15	7.4E-20	orange
AT3G43670		Copper amine oxidase family protein	-0.27	3.3E-01	-2.16	3.4E-25	orange
AT1G71890	SUC5	Major facilitator superfamily protein	-0.13	9.7E-01	-2.17	5.6E-03	orange
AT1G09350	GolS3	galactinol synthase 3	-1.09	2.1E-01	-2.17	1.0E-10	orange
AT5G12050			-0.56	6.0E-02	-2.17	2.4E-15	orange
AT1G78860		D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	-0.54	7.0E-01	-2.19	4.2E-03	orange
AT4G30610	BRS1	alpha/beta-Hydrolases superfamily protein	-0.52	3.0E-03	-2.19	4.7E-12	orange
AT4G39010	GH9B18	glycosyl hydrolase 9B18	-0.38	6.6E-01	-2.19	9.6E-09	orange
AT1G51460	ABCG13	ABC-2 type transporter family protein	-0.59	6.9E-01	-2.20	9.5E-05	orange
AT1G76800		Vacuolar iron transporter (VIT) family protein	-0.52	3.3E-01	-2.21	1.2E-20	orange
AT5G04380		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-0.35	9.2E-01	-2.21	8.8E-04	orange
AT5G49360	BXL1	beta-xylosidase 1	-0.84	2.0E-01	-2.22	5.9E-18	orange
AT1G28130	GH3.17	Auxin-responsive GH3 family protein	-0.72	1.9E-01	-2.23	1.2E-05	orange
AT5G26010		Protein phosphatase 2C family protein	-0.13	9.4E-01	-2.24	1.6E-06	orange
AT3G48260	WNK3	with no lysine (K) kinase 3	-0.75	4.7E-01	-2.25	6.9E-05	orange
AT1G15990	CNGC7	cyclic nucleotide gated channel 7	-0.19	9.6E-01	-2.27	9.4E-03	orange
AT1G30190			-0.39	8.8E-01	-2.28	3.2E-04	orange
AT5G20630	GER3	germin 3	-0.73	4.9E-01	-2.29	4.6E-03	orange
AT5G49920		Octicosapeptide/Phox/Bem1p family protein	-0.08	9.9E-01	-2.31	3.9E-03	orange
AT3G58120	BZIP61	Basic-leucine zipper (bZIP) transcription factor family protein	-0.72	1.7E-01	-2.33	2.2E-08	orange
AT3G22275			0.88	6.3E-01	-2.36	5.3E-04	orange
AT2G21650	MEE3	Homeodomain-like superfamily protein	-0.43	1.2E-01	-2.38	1.5E-08	orange
AT2G40100	LHCB4.3	light harvesting complex photosystem II	-0.01	1.0E+00	-2.39	2.9E-30	orange
AT3G50120		Plant protein of unknown function (DUF247)	-0.56	8.4E-01	-2.40	2.2E-04	orange
AT5G02760		Protein phosphatase 2C family protein	-0.74	2.8E-01	-2.40	9.0E-13	orange
AT1G61130	SCPL32	serine carboxypeptidase-like 32	-0.57	9.1E-01	-2.44	1.3E-04	orange
AT3G22090			-0.01	1.0E+00	-2.50	6.6E-07	orange
AT5G59320	LTP3	lipid transfer protein 3	-0.21	9.4E-01	-2.50	2.1E-11	orange
AT1G69140			-0.90	6.6E-02	-2.56	3.6E-12	orange
AT1G78990		HXXXD-type acyl-transferase family protein	-0.37	5.8E-01	-2.56	1.7E-09	orange
AT5G53710			-0.67	7.7E-01	-2.63	7.2E-05	orange
AT3G59220	PRN	pirin	-0.75	3.1E-01	-2.67	8.6E-07	orange
AT3G13640	ABCE1	RNAse l inhibitor protein 1	-0.51	5.2E-01	-2.69	3.0E-07	orange
AT2G22810	ACS4	1-aminocyclopropane-1-carboxylate synthase 4	-0.75	2.5E-01	-2.71	2.8E-03	orange
AT4G25850	ORP4B	OSBP(oxysterol binding protein)-related protein 4B	-0.46	4.4E-01	-2.72	5.3E-09	orange
AT4G28040		nodulin MtN21 /EamA-like transporter family protein	-0.43	4.5E-01	-2.78	1.3E-21	orange
AT1G06080	ADS1	delta 9 desaturase 1	-1.13	3.5E-01	-2.85	3.7E-07	orange
AT2G36885			-0.13	8.6E-01	-2.86	6.1E-24	orange
AT3G49160		pyruvate kinase family protein	-0.27	7.8E-01	-2.92	2.6E-12	orange
AT1G73120			-1.13	1.9E-01	-2.94	1.5E-13	orange
AT3G55240		Plant protein 1589 of unknown function	-0.21	6.3E-01	-2.95	1.6E-21	orange
AT1G15380	GLYI4	Lactoylglutathione lyase / glyoxalase I family protein	-1.43	8.1E-01	-2.99	8.8E-03	orange
AT5G01600	FER1	ferretin 1	-0.44	7.1E-01	-2.99	1.6E-20	orange
AT1G21140		Vacuolar iron transporter (VIT) family protein	-0.43	6.8E-01	-2.99	3.9E-13	orange
AT1G10640		Pectin lyase-like superfamily protein	-0.79	1.2E-01	-3.05	5.3E-06	orange
AT2G38530	LTP2	lipid transfer protein 2	0.12	9.7E-01	-3.29	1.9E-12	orange
AT1G12570		Glucose-methanol-choline (GMC) oxidoreductase family protein	-0.05	9.9E-01	-3.48	8.5E-04	orange
AT4G01975		transposable element gene	-1.11	2.7E-01	-3.67	1.5E-11	orange
AT4G33790	CER4	Jojoba acyl CoA reductase-related male sterility protein	-1.04	5.5E-01	-3.80	6.0E-05	orange
